gt_g,gt_lambda,gt_delta,distance,fitted_g,fitted_lambda,fitted_delta
0.275,0.175,0.155,0.08420807562223469,0.3,0.1,0.126
0.275,0.175,0.184,0.04999999999999999,0.275,0.125,0.184
0.275,0.175,0.213,0.05924525297439447,0.288,0.125,0.184
0.275,0.175,0.242,0.05924525297439447,0.288,0.125,0.213
0.275,0.175,0.271,0.04572745346069469,0.25,0.15,0.3
0.275,0.175,0.3,0.04999999999999999,0.275,0.125,0.3
0.275,0.2,0.068,0.05924525297439447,0.288,0.25,0.097
0.275,0.2,0.097,0.04043513323831144,0.288,0.225,0.126
0.275,0.2,0.126,0.05590169943749477,0.25,0.15,0.126
0.275,0.2,0.155,0.08145550932871269,0.288,0.125,0.126
0.275,0.2,0.184,0.11827510304370907,0.3,0.1,0.126
0.275,0.2,0.213,0.13488513631975912,0.25,0.1,0.126
0.275,0.2,0.242,0.13488513631975912,0.3,0.1,0.155
0.275,0.2,0.271,0.10084145972763385,0.288,0.1,0.271
0.275,0.2,0.3,0.11559844289608749,0.288,0.125,0.213
0.275,0.225,0.068,0.09569743988216192,0.262,0.3,0.126
0.275,0.225,0.097,0.08145550932871266,0.262,0.3,0.126
0.275,0.225,0.126,0.09569743988216192,0.262,0.3,0.184
0.275,0.225,0.155,0.03535533905932735,0.3,0.2,0.155
0.275,0.225,0.184,0.08420807562223473,0.25,0.15,0.155
0.275,0.225,0.213,0.15284959927981492,0.288,0.1,0.126
0.275,0.225,0.242,0.15433405327405872,0.3,0.1,0.155
0.275,0.225,0.271,0.11827510304370908,0.3,0.125,0.213
0.275,0.225,0.3,0.19188277671536857,0.262,0.1,0.155
0.275,0.25,0.068,0.07767238891652553,0.262,0.3,0.126
0.275,0.25,0.097,0.012999999999999956,0.288,0.25,0.097
0.275,0.25,0.126,0.04043513323831145,0.288,0.275,0.155
0.275,0.25,0.155,0.04043513323831144,0.288,0.225,0.184
0.275,0.25,0.184,0.07611832893594025,0.288,0.175,0.184
0.275,0.25,0.213,0.1400499910746159,0.3,0.125,0.155
0.275,0.25,0.242,0.15433405327405875,0.25,0.125,0.155
0.275,0.25,0.271,0.15284959927981492,0.288,0.125,0.184
0.275,0.25,0.3,0.21011901389450693,0.3,0.1,0.155
0.275,0.275,0.068,0.06448255578061401,0.262,0.3,0.126
0.275,0.275,0.097,0.04043513323831144,0.262,0.3,0.126
0.275,0.275,0.126,0.028178005607210718,0.262,0.3,0.126
0.275,0.275,0.155,0.04572745346069469,0.25,0.3,0.184
0.275,0.275,0.184,0.07905694150420949,0.3,0.2,0.184
0.275,0.275,0.213,0.10492854711659742,0.288,0.175,0.184
0.275,0.275,0.242,0.1738907703128605,0.262,0.125,0.155
0.275,0.275,0.271,0.14004999107461596,0.25,0.15,0.213
0.275,0.275,0.3,0.18962067397834026,0.275,0.125,0.184
0.275,0.3,0.068,0.05943904440685432,0.262,0.3,0.126
0.275,0.3,0.097,0.03178049716414141,0.262,0.3,0.126
0.275,0.3,0.126,0.013000000000000012,0.262,0.3,0.126
0.275,0.3,0.155,0.013000000000000012,0.262,0.3,0.155
0.275,0.3,0.184,0.03828837943815331,0.25,0.3,0.213
0.275,0.3,0.213,0.10492854711659737,0.288,0.2,0.184
0.275,0.3,0.242,0.1283199127181748,0.275,0.175,0.213
0.275,0.3,0.271,0.16275441622272496,0.25,0.15,0.213
0.275,0.3,0.3,0.12897674208941703,0.262,0.175,0.271
0.288,0.1,0.068,0.031384709652950434,0.3,0.1,0.097
0.288,0.1,0.097,0.031384709652950434,0.3,0.1,0.126
0.288,0.1,0.126,0.09052071586106686,0.288,0.125,0.213
0.288,0.1,0.155,0.05943904440685431,0.275,0.1,0.097
0.288,0.1,0.184,1.0,0.288,0.1,0.184
0.288,0.1,0.213,1.0,0.288,0.1,0.213
0.288,0.1,0.242,1.0,0.288,0.1,0.242
0.288,0.1,0.271,1.0,0.288,0.1,0.271
0.288,0.1,0.3,1.0,0.288,0.1,0.3
0.288,0.125,0.068,0.04012480529547776,0.3,0.15,0.097
0.288,0.125,0.097,0.04548626166217661,0.25,0.1,0.097
0.288,0.125,0.126,0.027730849247724093,0.3,0.1,0.126
0.288,0.125,0.155,0.04548626166217661,0.25,0.1,0.155
0.288,0.125,0.184,0.04548626166217661,0.25,0.1,0.184
0.288,0.125,0.213,0.06428841264178174,0.3,0.1,0.271
0.288,0.125,0.242,1.0,0.288,0.125,0.242
0.288,0.125,0.271,1.0,0.288,0.125,0.271
0.288,0.125,0.3,0.05635601121442146,0.262,0.175,0.3
0.288,0.15,0.068,0.04043513323831144,0.275,0.175,0.097
0.288,0.15,0.097,0.03894868418830087,0.262,0.15,0.126
0.288,0.15,0.126,0.06337980750996328,0.262,0.1,0.097
0.288,0.15,0.155,0.06917369442208503,0.25,0.1,0.126
0.288,0.15,0.184,0.05903388857258175,0.3,0.1,0.155
0.288,0.15,0.213,0.07657675887630659,0.288,0.1,0.271
0.288,0.15,0.242,0.0737088868454815,0.25,0.125,0.3
0.288,0.15,0.271,0.04012480529547774,0.3,0.125,0.3
0.288,0.15,0.3,1.0,0.288,0.15,0.3
0.288,0.175,0.068,0.012999999999999956,0.275,0.175,0.068
0.288,0.175,0.097,0.040124805295477774,0.3,0.2,0.126
0.288,0.175,0.126,0.08041144197189848,0.288,0.1,0.097
0.288,0.175,0.155,0.08130190649671136,0.3,0.1,0.126
0.288,0.175,0.184,0.10214205793893127,0.25,0.1,0.126
0.288,0.175,0.213,0.05780138406647369,0.288,0.125,0.184
0.288,0.175,0.242,0.08130190649671137,0.3,0.1,0.271
0.288,0.175,0.271,0.06917369442208501,0.25,0.125,0.3
0.288,0.175,0.3,0.05166236541235794,0.275,0.125,0.3
0.288,0.2,0.068,0.05780138406647369,0.288,0.25,0.097
0.288,0.2,0.097,0.06337980750996328,0.262,0.25,0.126
0.288,0.2,0.126,0.06280127387243033,0.25,0.15,0.126
0.288,0.2,0.155,0.0804114419718985,0.288,0.125,0.126
0.288,0.2,0.184,0.11560276813294741,0.288,0.1,0.126
0.288,0.2,0.213,0.13507405376311174,0.262,0.1,0.126
0.288,0.2,0.242,0.1330901949806972,0.3,0.1,0.155
0.288,0.2,0.271,0.09481033698917014,0.288,0.125,0.213
0.288,0.2,0.3,0.09556673061269806,0.3,0.125,0.242
0.288,0.225,0.068,0.03828837943815329,0.288,0.25,0.097
0.288,0.225,0.097,0.06337980750996329,0.262,0.275,0.126
0.288,0.225,0.126,0.05780138406647371,0.288,0.275,0.155
0.288,0.225,0.155,0.027730849247724093,0.3,0.2,0.155
0.288,0.225,0.184,0.12168812596141006,0.25,0.125,0.126
0.288,0.225,0.213,0.15276779765382495,0.3,0.1,0.126
0.288,0.225,0.242,0.11560276813294741,0.288,0.125,0.184
0.288,0.225,0.271,0.1163314230979747,0.275,0.125,0.213
0.288,0.225,0.3,0.11560276813294741,0.288,0.125,0.242
